"film_id","annotation_id","final_ad","anonymized_ad","final_frame","frame_id","text","scene_or_background"
"0_Able-NZ","a1","On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog sniffs the ground.","On an overcast day, a man and a woman walk by the seaside with a large, lanky dog. A jogger passes them in the opposite direction. The dog sniffs the ground.","243.jpg",0,0,1
"1_Bridge-US","a2","A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane. A male runner jogs past. The dog sniffs the sand.","A nearly-empty beach beside a sea. A couple wears jackets as they stroll with their large Great Dane. A male runner jogs past. The dog sniffs the sand.","243.jpg",0,0,1
"2_BTI-UK","a58","In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog sniffs at something on the sand.","In the distance, a couple walk their dog along an urban beach. They pass a jogger running in the opposite direction. The dog sniffs at something on the sand.","243.jpg",0,0,1
"3_Deluxe-UK","a1","A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.","A road running along by the sea. A couple walk their dog on the flat beach and a jogger runs past. The sky above is pale and dappled with light grey clouds.","243.jpg",0,0,1
"4_Ericsson-AU","a4698","A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which sniffs at something in the sand.","A sandy promenade at the seaside in pale dawn light. A man in a tracksuit jogs past a couple with a large dog, which sniffs at something in the sand.","243.jpg",0,0,1
"5_Ericsson-UK","a1","Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.","Daytime. A pale grey seafront. A couple walk their dog along a sandy promenade, passing a jogger going in the opposite direction.","243.jpg",0,0,1
"6_Mennell-CA","a1","It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant.","It's an early grey morning at an urban seaside. A couple dressed in warm clothes walk their great dane as a lone jogger rambles past. The sidewalk in the foreground that runs alongside a road is vacant.","243.jpg",0,0,1
"7_MindsEye-UK","a1","A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog sniffs the sand.","A beach under the pale sunshine. A couple walk by with a big black dog. A jogger runs the other way. The dog sniffs the sand.","243.jpg",0,0,1
"8_SDI-UK","a1","A photo in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past.","A photo in sombre greys with some colour highlights. Day. A couple stroll along a virtually deserted beach with a large dog lolloping behind them. A man jogs past.","243.jpg",0,0,1
"9_ADAssociates-US","a1","Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.","Under a partly-cloudy sky, a wide and sandy beachfront and parking area. A jogger runs from the right, while at left a couple walks a large dog.","243.jpg",0,0,1
"0_Able-NZ","a2","Black text on a white background, reading: 'What happens while', followed by a long black line.","Black text on a white background, reading: 'What happens while', followed by a long black line.","472.jpg",1,1,1
"1_Bridge-US","a3","Words: What Happens While… with a long, blank line at the end.","Words: What Happens While… with a long, blank line at the end.","472.jpg",1,1,1
"2_BTI-UK","a59","Words in black letters on a white background. what happens while, followed by a long black line.","Words in black letters on a white background. what happens while, followed by a long black line.","472.jpg",1,1,1
"3_Deluxe-UK","a2","What happens while. The title ends with just a line.","What happens while. The title ends with just a line.","472.jpg",1,1,1
"4_Ericsson-AU","a4699","A title. What Happens While…","A title. What Happens While…","472.jpg",1,1,1
"5_Ericsson-UK","a2","What happens while.","What happens while.","472.jpg",1,1,1
"6_Mennell-CA","a2","A title reads: What happens while BLANK.","A title reads: What happens while BLANK.","472.jpg",1,1,1
"7_MindsEye-UK","a2","Caption: What happens while – blank.","Caption: What happens while – blank.","472.jpg",1,1,1
"8_SDI-UK","a2","On a white background: What Happens While.","On a white background: What Happens While.","472.jpg",1,1,1
"9_ADAssociates-US",,"A title: What happens While","A title: What happens While","472.jpg",1,1,1
"1_Bridge-US","a76","A title: What Happens While... with a long, blank line at the end.","A title: What Happens While... with a long, blank line at the end.","472.jpg",1,1,1
"2_BTI-UK","a103","The title, in black letters on a white background: what happens while, followed by a long black line.","The title, in black letters on a white background: what happens while, followed by a long black line.","472.jpg",1,1,1
"4_Ericsson-AU","a4732","'What Happens While...'","'What Happens While...'","472.jpg",1,1,1
"6_Mennell-CA","a52","What happens while BLANK.","What happens while BLANK.","472.jpg",1,1,1
"0_Able-NZ",,"A man in a suit and tie and talking on a cellphone parks his white BMW by the seaside.","A man in a suit and tie and talking on a cellphone parks his white BMW by the seaside.","687.jpg",2,0,1
"1_Bridge-US",,"A slick, white car is parked on the grey asphalt. The male driver sits alone inside and speaks on his cell phone.","A slick, white car parks on the grey asphalt. The male driver sits alone inside and speaks on his cell phone.","687.jpg",2,0,1
"2_BTI-UK","a60","A white saloon is parked alongside the beach wall. The male driver is on his mobile. The man is in his mid 30's with a sandy beard.","A white saloon parks alongside the beach wall. The male driver is on his mobile. The man is in his mid 30's with a sandy beard.","687.jpg",2,0,1
"3_Deluxe-UK","a2","A man parks a sleek white BMW on the road by the sea.","A man parks a sleek white BMW on the road by the sea.","687.jpg",2,0,1
"4_Ericsson-AU","a4700","A bearded man in a suit parks his expensive car by the promenade while on the phone.","A bearded man in a suit parks his expensive car by the promenade while on the phone.","687.jpg",2,0,1
